Series Name,Series Code,Country Name,Country Code,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
"Population, female",SP.POP.TOTL.FE.IN,India,IND,685992675,681060412,675389679,668786993,661854076,654607791,647012921,639323292,631697152,623809180,615647779,607376801,599047591,590747758,582492785,574185530,565762395,557161047,548274218,539178882,529978166,520679574
"Population, female",SP.POP.TOTL.FE.IN,Indonesia,IDN,136798063,135900714,134930389,133784436,132530163,131253454,129940374,128574643,127158711,125693504,124183204,122648363,121133510,119636496,118134983,116621886,115112096,113637675,112236510,110834579,109376745,107901551
"Population, female",SP.POP.TOTL.FE.IN,"Iran, Islamic Rep.",IRN,43835978,43496643,43155308,42772045,42283609,41715123,41105603,40336099,39405613,38640588,38062269,37559635,37072743,36554728,36059993,35569016,35065378,34551612,34033455,33525382,33228012,32888440
"Population, female",SP.POP.TOTL.FE.IN,Iraq,IRQ,22205751,21736184,21259406,20774818,20301429,19826367,19369155,18907546,18414828,17793123,16993544,16258743,15709180,15226676,14692161,14407413,14521163,14410735,13986188,13588897,13184691,12775683
"Population, female",SP.POP.TOTL.FE.IN,Ireland,IRL,2565839,2539135,2515614,2490220,2456754,2427413,2401916,2376011,2353302,2334273,2320880,2308722,2295311,2278484,2249608,2199181,2136262,2084299,2044797,2010956,1978879,1945018
"Population, female",SP.POP.TOTL.FE.IN,Isle of Man,IMN,42660,42528,42415,42350,42267,42173,42110,42179,42321,42423,42493,42470,42206,41778,41358,40970,40599,40248,39937,39629,39308,38974
"Population, female",SP.POP.TOTL.FE.IN,Israel,ISR,4786984,4695900,4622801,4544229,4460839,4378254,4297207,4216926,4137178,4061634,3989651,3919714,3850926,3783259,3695091,3631329,3568903,3508024,3448279,3389251,3329934,3264694
"Population, female",SP.POP.TOTL.FE.IN,Italy,ITA,30156052,30300094,30481007,30638263,31012809,31109769,31193971,31278411,31329027,31056458,30716299,30643856,30585093,30481038,30336005,30129102,29972190,29883545,29747782,29571065,29450615,29410285
"Population, female",SP.POP.TOTL.FE.IN,Jamaica,JAM,1424998,1424743,1420767,1417116,1415821,1413838,1410867,1406816,1402227,1397059,1390918,1384402,1378388,1372774,1367460,1362545,1356781,1350293,1343774,1337278,1331046,1324943
"Population, female",SP.POP.TOTL.FE.IN,Japan,JPN,64314912,64594414,64885399,65065286,65140618,65206949,65245704,65267090,65324683,65398896,65480007,65569426,65672237,65637199,65618491,65557955,65451729,65374871,65330634,65270637,65093948,64907199
"Population, female",SP.POP.TOTL.FE.IN,Jordan,JOR,5438953,5368123,5257947,5143079,5024293,4902957,4778803,4549538,4160394,3725930,3507157,3455782,3367031,3291871,3218236,3138903,2943988,2749640,2677114,2608615,2546539,2487807
"Population, female",SP.POP.TOTL.FE.IN,Kazakhstan,KAZ,10179087,9864589,9743042,9623458,9508427,9393051,9275967,9154229,9029051,8904870,8784512,8668254,8552136,8438381,8277191,8126518,8035070,7949338,7877124,7820478,7791988,7788399
"Population, female",SP.POP.TOTL.FE.IN,Kenya,KEN,27249938,26726429,26205082,25679257,25168522,24652004,24114618,23582948,23061826,22533107,21992229,21439190,20875000,20296096,19707234,19133373,18579218,18040263,17517645,17008340,16517681,16030683
"Population, female",SP.POP.TOTL.FE.IN,Kiribati,KIR,67289,66150,64968,63851,62820,61819,60836,59874,58943,58026,57103,56161,55156,54099,53046,52031,51046,50037,49015,48026,47053,46058
"Population, female",SP.POP.TOTL.FE.IN,"Korea, Dem. People's Rep.",PRK,13164298,13127524,13089212,13047566,13003192,12956390,12907056,12855212,12801961,12750473,12702791,12658695,12616337,12568332,12515075,12461285,12403291,12338331,12264788,12183636,12115395,12057001
"Population, female",SP.POP.TOTL.FE.IN,"Korea, Rep.",KOR,25854364,25902500,25938911,25889856,25783018,25654936,25566204,25466609,25356139,25224087,25137200,25034107,24852253,24715248,24570971,24368149,24228799,24081655,24005609,23885395,23737995,23577705
"Population, female",SP.POP.TOTL.FE.IN,Kosovo,XKX,883877,895801,897541,896722,900766,897635,890797,896017,908173,910703,905096,896954,887657,877514,867678,858106,848743,839525,836566,833686,830886,829099
"Population, female",SP.POP.TOTL.FE.IN,Kuwait,KWT,1672926,1659419,1689384,1702878,1661345,1616950,1585277,1569671,1586002,1557776,1456439,1355253,1267716,1194588,1122360,1050213,978402,915450,879585,861555,842457,822562
"Population, female",SP.POP.TOTL.FE.IN,Kyrgyz Republic,KGZ,3462998,3405781,3348689,3286075,3218986,3156721,3097615,3036877,2976832,2919343,2863524,2817552,2784718,2752856,2720818,2696138,2671501,2643705,2614934,2584242,2557844,2535213
"Population, female",SP.POP.TOTL.FE.IN,Lao PDR,LAO,3734796,3682483,3629574,3575847,3522442,3469110,3415910,3364007,3317084,3273809,3230068,3186018,3141557,3096726,3051630,3006220,2960629,2915416,2873441,2833564,2792055,2749003
"Population, female",SP.POP.TOTL.FE.IN,Latvia,LVA,1009778,1011596,1021768,1030582,1039395,1049155,1060135,1071516,1081749,1093236,1106189,1120785,1141877,1166323,1185974,1198558,1208273,1219037,1231924,1245312,1257073,1271110
"Population, female",SP.POP.TOTL.FE.IN,Lebanon,LBN,2827383,2879140,2914639,2967783,3039172,3105403,3167365,3225226,3157007,2858601,2607796,2541771,2517928,2496213,2464793,2425840,2380573,2341982,2308160,2273541,2244887,2216621
"Population, female",SP.POP.TOTL.FE.IN,Lesotho,LSO,1168329,1155756,1141915,1127746,1114109,1100655,1087578,1075264,1064118,1054158,1045364,1037702,1030995,1024847,1018115,1013106,1010320,1010444,1014422,1018296,1020608,1021628
"Population, female",SP.POP.TOTL.FE.IN,Liberia,LBR,2661979,2608243,2556131,2505847,2458807,2413339,2369046,2323065,2277509,2232393,2185460,2111010,2031229,1974485,1914531,1839348,1750726,1655945,1583860,1565364,1553226,1513734
"Population, female",SP.POP.TOTL.FE.IN,Libya,LBY,3365279,3325769,3283983,3240076,3193468,3143706,3094517,3046854,2997221,2939742,2881548,3039860,3191977,3127657,3063814,3000597,2940457,2865160,2773433,2684383,2599295,2518416
"Population, female",SP.POP.TOTL.FE.IN,Liechtenstein,LIE,19825,19686,19534,19381,19220,19073,18947,18834,18719,18585,18439,18288,18162,18047,17927,17814,17693,17552,17399,17257,17110,16951
"Population, female",SP.POP.TOTL.FE.IN,Lithuania,LTU,1502383,1486443,1485577,1487938,1495079,1512826,1537363,1560016,1577567,1593602,1611883,1635330,1673851,1709854,1728715,1745156,1763904,1790135,1817338,1835671,1848248,1860532
"Population, female",SP.POP.TOTL.FE.IN,Luxembourg,LUX,323237,317924,313207,308156,302297,296716,289781,283954,277710,271532,265765,260020,254780,250499,246266,242111,238501,234862,231519,228646,226149,223861
"Population, female",SP.POP.TOTL.FE.IN,"Macao SAR, China",MAC,368988,364321,358628,351296,343986,336822,329873,323145,316594,310177,303856,297195,289940,282541,275313,268205,261164,254246,247425,240653,233941,228346
"Population, female",SP.POP.TOTL.FE.IN,Madagascar,MDG,14775496,14424717,14076752,13728596,13384012,13044649,12710056,12383941,12065787,11750494,11438460,11128890,10820101,10513195,10211594,9917175,9629821,9351211,9080850,8818285,8563371,8313779
"Population, female",SP.POP.TOTL.FE.IN,Malawi,MWI,10480456,10218942,9958303,9698995,9445207,9197987,8956544,8719776,8485579,8255436,8030996,7811265,7595842,7384918,7178959,6976891,6778224,6585398,6401576,6228350,6065205,5911060
"Population, female",SP.POP.TOTL.FE.IN,Malaysia,MYS,16596389,16407343,16213821,16009996,15801948,15584594,15354558,15120922,14885695,14646296,14405218,14163015,13925419,13686532,13437576,13179771,12916424,12651740,12385554,12118281,11850120,11581251
"Population, female",SP.POP.TOTL.FE.IN,Maldives,MDV,222471,220721,217316,212884,206793,199814,192534,185089,177596,172215,168923,165635,162405,159298,156341,153543,150904,148456,146120,143768,141382,138959
"Population, female",SP.POP.TOTL.FE.IN,Mali,MLI,11186771,10844239,10505701,10179843,9865821,9556879,9254197,8963345,8685277,8413823,8171646,7936902,7684411,7438969,7201073,6968725,6742621,6523607,6311824,6109536,5917677,5736653
"Population, female",SP.POP.TOTL.FE.IN,Malta,MLT,250560,248831,248434,244207,236050,229157,224158,220217,216022,212608,210374,209074,208618,207859,206399,205066,204278,203432,202059,200646,199287,197793
"Population, female",SP.POP.TOTL.FE.IN,Marshall Islands,MHL,20346,20567,21224,21855,22460,23040,23591,24111,24596,25045,25456,25828,26061,26162,26261,26360,26439,26494,26534,26555,26552,26508
"Population, female",SP.POP.TOTL.FE.IN,Mauritania,MRT,2414911,2354385,2296186,2238719,2182110,2126733,2072630,2019734,1968143,1917938,1861624,1799948,1741544,1686890,1635897,1591630,1553092,1516097,1480531,1446195,1412682,1379893
"Population, female",SP.POP.TOTL.FE.IN,Mauritius,MUS,639989,641465,640852,640430,639874,639185,638253,637471,636293,634809,632967,630904,629536,627622,625503,622800,619575,616351,612399,608280,603608,599151
"Population, female",SP.POP.TOTL.FE.IN,Mexico,MEX,65309171,64849001,64410851,63898082,63328698,62712641,62029592,61325120,60610526,59862821,59081795,58268408,57445993,56685733,55985191,55278659,54557092,53823103,53064573,52296746,51530724,50758748
"Population, female",SP.POP.TOTL.FE.IN,"Micronesia, Fed. Sts.",FSM,56777,56233,55694,55307,55063,54800,54538,54295,54067,53855,53664,53489,53341,53474,53877,54279,54645,54944,55191,55384,55496,55503
"Population, female",SP.POP.TOTL.FE.IN,Moldova,MDA,1358183,1373816,1383296,1397819,1419884,1444805,1469996,1487320,1499077,1500292,1500883,1501362,1502700,1504835,1507520,1511249,1515526,1520473,1524275,1527848,1532293,1536007
"Population, female",SP.POP.TOTL.FE.IN,Monaco,MCO,18596,18704,18827,18890,18887,18886,18884,18718,18393,18055,17703,17341,16971,16589,16320,16305,16407,16479,16532,16576,16617,16652
"Population, female",SP.POP.TOTL.FE.IN,Mongolia,MNG,1712979,1686321,1658241,1626335,1591658,1557431,1523921,1491107,1459613,1430076,1402736,1377389,1356147,1338545,1322575,1308854,1296962,1286180,1275713,1265190,1254668,1244391
"Population, female",SP.POP.TOTL.FE.IN,Montenegro,MNE,316129,317538,318464,318725,318787,318854,318810,318773,318620,318335,318151,318002,317741,317338,316886,316585,316447,316347,316162,315676,314222,312711
"Population, female",SP.POP.TOTL.FE.IN,Morocco,MAR,18605603,18410922,18213816,18022621,17840191,17646668,17442227,17235856,17027786,16812735,16594445,16378020,16167193,15965384,15770522,15577682,15385576,15191659,14994480,14810456,14636269,14456567
"Population, female",SP.POP.TOTL.FE.IN,Mozambique,MOZ,16793302,16339849,15884940,15433808,14996993,14567003,14135272,13714918,13315954,12925693,12545887,12182882,11837502,11513202,11209337,10919618,10641439,10372470,10107859,9847572,9594055,9348513
"Population, female",SP.POP.TOTL.FE.IN,Myanmar,MMR,27216740,27015414,26817022,26616900,26421724,26225112,26019857,25808518,25595912,25377710,25156858,24939195,24732646,24541072,24402770,24266155,24084184,23897578,23698591,23484720,23255648,23015840
"Population, female",SP.POP.TOTL.FE.IN,Namibia,NAM,1328449,1308985,1287438,1265266,1243822,1222272,1200715,1179466,1158729,1138564,1119086,1100620,1083287,1066814,1051301,1037023,1023939,1011646,999590,987380,973840,957602
"Population, female",SP.POP.TOTL.FE.IN,Nauru,NRU,6233,6151,6050,5955,5849,5729,5604,5479,5360,5237,5111,5035,5020,5016,5016,5019,5022,5020,5019,5016,5011,5013
"Population, female",SP.POP.TOTL.FE.IN,Nepal,NPL,15901334,15664025,15368183,15128288,14952540,14777629,14601718,14447479,14323121,14216663,14118638,14016343,13901487,13776271,13645445,13505086,13353440,13186397,13001504,12802557,12593963,12380071
"Population, female",SP.POP.TOTL.FE.IN,Netherlands,NLD,8904226,8820968,8776125,8729744,8676043,8629295,8582315,8540483,8506166,8478636,8456472,8427926,8390687,8348729,8306815,8274968,8256980,8243829,8224500,8196208,8158484,8107759
"Population, female",SP.POP.TOTL.FE.IN,New Caledonia,NCL,139135,137939,136663,135859,135581,135158,134622,134000,133089,130750,128304,125859,123442,121484,119942,118301,116661,115116,113456,111599,109544,107302
"Population, female",SP.POP.TOTL.FE.IN,New Zealand,NZL,2584111,2578123,2567944,2517499,2486439,2446947,2399067,2348652,2304264,2268940,2252797,2240361,2222924,2198070,2176078,2157193,2136095,2108780,2083673,2052127,2011935,1976957
"Population, female",SP.POP.TOTL.FE.IN,Nicaragua,NIC,3524605,3474910,3426548,3379591,3333171,3286867,3240784,3194985,3149486,3104267,3059293,3014669,2970655,2927499,2885445,2844711,2805314,2767177,2731919,2698853,2665376,2630858
"Population, female",SP.POP.TOTL.FE.IN,Niger,NER,12914594,12443587,11991269,11553632,11128131,10716126,10315083,9925014,9553826,9201607,8859465,8530903,8219898,7921750,7636788,7364222,7103832,6854818,6616601,6389847,6174051,5967421
"Population, female",SP.POP.TOTL.FE.IN,Nigeria,NGA,108093075,105574310,103084231,100623652,98222504,95832952,93474951,91192351,88929439,86645192,84362132,82099103,79886397,77749737,75683500,73673124,71718561,69820038,67971753,66172940,64424240,62731941
"Population, female",SP.POP.TOTL.FE.IN,North Macedonia,MKD,1032057,1035460,1038868,1040755,1040371,1039359,1038171,1036836,1035259,1033301,1031596,1030140,1028115,1025676,1023544,1021632,1019659,1017633,1015172,1011993,1008305,1013819
"Population, female",SP.POP.TOTL.FE.IN,Northern Mariana Islands,MNP,22916,22884,22956,23127,23401,23669,23933,24189,24430,24646,24835,25000,25980,27779,29582,31397,33200,34982,36719,38389,39980,41471
"Population, female",SP.POP.TOTL.FE.IN,Norway,NOR,2703524,2680087,2666540,2652054,2635181,2618212,2598214,2577286,2554202,2528233,2501197,2473240,2445466,2417843,2390855,2366424,2346806,2330273,2315347,2302268,2289135,2277129
"Population, female",SP.POP.TOTL.FE.IN,Oman,OMN,1790804,1758703,1722614,1678067,1629789,1580938,1531734,1477375,1417894,1357118,1295419,1233305,1173012,1136436,1122237,1108636,1095207,1081633,1067698,1052555,1035964,1018552
"Population, female",SP.POP.TOTL.FE.IN,Pakistan,PAK,116863982,114586264,112381099,110278237,108293156,106376569,104630327,102985590,101436628,99958919,98373877,96555715,94467014,92290019,90186327,88180519,86259841,84430090,82599094,80749416,78984415,77005059
"Population, female",SP.POP.TOTL.FE.IN,Palau,PLW,8679,8643,8595,8537,8476,8427,8384,8339,8353,8416,8496,8602,8710,8813,8912,9008,9095,9165,9164,9113,9066,9024
"Population, female",SP.POP.TOTL.FE.IN,Panama,PAN,2204170,2174744,2145526,2114030,2080041,2045156,2010059,1975219,1940824,1906929,1873251,1839763,1806799,1774222,1741781,1709605,1677823,1646282,1614867,1583902,1553486,1523390
"Population, female",SP.POP.TOTL.FE.IN,Papua New Guinea,PNG,4910305,4811553,4710175,4605722,4498858,4391815,4284284,4176197,4068046,3960092,3852159,3744221,3635383,3526604,3419577,3314819,3212224,3111127,3011670,2913907,2818074,2724370
"Population, female",SP.POP.TOTL.FE.IN,Paraguay,PRY,3378612,3338534,3294711,3249592,3205602,3161074,3116116,3071251,3027162,2984194,2942591,2902421,2864220,2830572,2801155,2772888,2744307,2714511,2683305,2650831,2616730,2578849
"Population, female",SP.POP.TOTL.FE.IN,Peru,PER,17192503,17020361,16805323,16556679,16242003,15939422,15704688,15496198,15312249,15143939,14984154,14829974,14684090,14548239,14418159,14303686,14200318,14089681,13968835,13838734,13698746,13542313
"Population, female",SP.POP.TOTL.FE.IN,Philippines,PHL,56879731,56062865,55243033,54369671,53496816,52616948,51723461,50842060,50025302,49244938,48444531,47631255,46804421,45954012,45083466,44228376,43410285,42611126,41805071,40992524,40184410,39376849
"Population, female",SP.POP.TOTL.FE.IN,Poland,POL,19377247,19493868,19564918,19595179,19599212,19598693,19594548,19600554,19611835,19624797,19634196,19631168,19617883,19671857,19654617,19644001,19644068,19647126,19648406,19653302,19660224,19662876
"Population, female",SP.POP.TOTL.FE.IN,Portugal,PRT,5481814,5453881,5437732,5430271,5424120,5425635,5433909,5445951,5460676,5480877,5502221,5516002,5516395,5506976,5494333,5480404,5465459,5451866,5437846,5420513,5394794,5362775
"Population, female",SP.POP.TOTL.FE.IN,Puerto Rico,PRI,1702091,1721560,1728988,1679953,1676985,1743631,1783979,1816703,1847092,1875894,1896060,1917778,1938768,1947415,1956993,1967465,1978032,1985473,1987441,1986207,1984185,1980886
"Population, female",SP.POP.TOTL.FE.IN,Qatar,QAT,740889,734561,754994,751299,712137,680215,639636,597391,562633,528201,490463,453291,415537,376711,340380,310533,287464,269332,255237,243737,232662,222035
"Population, female",SP.POP.TOTL.FE.IN,Romania,ROU,9787040,9875794,9944933,9994608,10044758,10102021,10160603,10220714,10269735,10308025,10345857,10391699,10442125,10502500,10589029,10767349,10929699,10998038,11070152,11136920,11218841,11420812
"Population, female",SP.POP.TOTL.FE.IN,Russian Federation,RUS,76884903,76824577,77147284,77329730,77393346,77431943,77378095,77273424,77153880,77025825,76909131,76823612,76796366,76775747,76745227,76754261,76829928,76976788,77146216,77339545,77591468,77868557
"Population, female",SP.POP.TOTL.FE.IN,Rwanda,RWA,7035658,6879649,6723217,6568936,6418989,6269800,6121445,5979182,5843900,5712630,5584599,5453874,5319801,5187356,5056940,4928236,4802717,4682280,4567035,4457573,4357653,4274117
"Population, female",SP.POP.TOTL.FE.IN,Samoa,WSM,109007,107213,105296,103759,102603,101510,100415,99370,98400,97429,96459,95507,94597,93778,93008,92269,91624,91135,90732,90285,89754,89110
"Population, female",SP.POP.TOTL.FE.IN,San Marino,SMR,17281,17326,17444,17527,17530,17492,17381,17242,17148,17098,17037,16665,16137,15838,15648,15473,15264,15049,14847,14603,14283,13957
"Population, female",SP.POP.TOTL.FE.IN,Sao Tome and Principe,STP,113972,111802,109528,107476,105837,104172,102465,100713,98903,97038,95131,93216,91281,89268,87204,85124,83058,81031,79040,77081,75135,73356
"Population, female",SP.POP.TOTL.FE.IN,Saudi Arabia,SAU,15429586,15184150,15110254,14991273,14682638,14364501,14124969,13975740,13761419,13473465,13177067,12874436,12546820,12159682,11737168,11316699,10901784,10497404,10172103,9929220,9695331,9462097
"Population, female",SP.POP.TOTL.FE.IN,Senegal,SEN,8800406,8579664,8359194,8140163,7925155,7714564,7508739,7307890,7111154,6918883,6731566,6548585,6370907,6198778,6033364,5874678,5720487,5572083,5430752,5294846,5164280,5038914
"Population, female",SP.POP.TOTL.FE.IN,Serbia,SRB,3519916,3558849,3591804,3614847,3633970,3653751,3672802,3691286,3708638,3724821,3741536,3758250,3786331,3799644,3813031,3827397,3840939,3854522,3865190,3873864,3881249,3883138
"Population, female",SP.POP.TOTL.FE.IN,Seychelles,SYC,47382,46958,46598,46256,45934,45576,45099,44575,43671,43102,42453,42194,43487,42438,42403,41587,41489,40744,40663,40933,41486,40294
"Population, female",SP.POP.TOTL.FE.IN,Sierra Leone,SLE,4293526,4201801,4109203,4016374,3924338,3833302,3742430,3653843,3567901,3481154,3394265,3307516,3221070,3134095,3051126,2976883,2914008,2852644,2779282,2689447,2585175,2444289
"Population, female",SP.POP.TOTL.FE.IN,Singapore,SGP,2689047,2601057,2712947,2722116,2691403,2679065,2677036,2643311,2613879,2582486,2543402,2484222,2438290,2406590,2349440,2242360,2166064,2109638,2059943,2028098,2051990,2027180
"Population, female",SP.POP.TOTL.FE.IN,Sint Maarten (Dutch part),SXM,20161,19914,19731,19488,19248,19114,18836,18393,17951,17555,17437,17629,17929,17964,17758,17620,17373,17097,16777,16209,15814,15692
"Population, female",SP.POP.TOTL.FE.IN,Slovak Republic,SVK,2777654,2787545,2793108,2790976,2788054,2785261,2782101,2779841,2778259,2776247,2774136,2770582,2768035,2766484,2763650,2761765,2761440,2761778,2762058,2763015,2764954,2766118
"Population, female",SP.POP.TOTL.FE.IN,Slovenia,SVN,1048703,1048601,1047063,1042591,1037800,1036459,1038201,1039891,1040642,1040114,1039195,1037546,1036572,1033990,1026544,1026612,1022532,1020982,1020858,1021709,1022497,1022211
"Population, female",SP.POP.TOTL.FE.IN,Solomon Islands,SLB,354373,346168,337950,329962,322200,314498,306834,299207,291650,284224,276985,270007,263369,257098,251172,245462,239841,234329,228933,223600,218316,213076
"Population, female",SP.POP.TOTL.FE.IN,Somalia,SOM,8775069,8509953,8246544,7969926,7685953,7413310,7128282,6864502,6637951,6410507,6205382,6094496,6000046,5852726,5711552,5549417,5384226,5226944,5053614,4875714,4703881,4535518
"Population, female",SP.POP.TOTL.FE.IN,South Africa,ZAF,30725879,30497646,30221143,29879107,29517286,29175940,29004108,28721087,28228865,27837495,27493643,27164417,26857414,26570865,26287724,26023987,25795511,25583854,25379489,25178665,24979734,24781908
"Population, female",SP.POP.TOTL.FE.IN,South Sudan,SSD,5508626,5427688,5358155,5280526,5256106,5388641,5593169,5658104,5667728,5614589,5414203,5186770,4924626,4684472,4484211,4283691,4092201,3911543,3741461,3581690,3430780,3286776
"Population, female",SP.POP.TOTL.FE.IN,Spain,ESP,24278328,24178913,24152012,24030201,23851736,23734338,23662382,23626850,23627558,23671269,23713604,23668076,23562691,23435819,23224481,22879460,22487488,22136732,21804175,21467183,21116299,20839665
"Population, female",SP.POP.TOTL.FE.IN,Sri Lanka,LKA,11498234,11481595,11354528,11288193,11212976,11121609,11071811,11017785,10958989,10893806,10824621,10728540,10608780,10489088,10363512,10234445,10106367,9985722,9872701,9756948,9637824,9519579
"Population, female",SP.POP.TOTL.FE.IN,St. Kitts and Nevis,KNA,24646,24591,24570,24562,24545,24515,24472,24430,24387,24339,24290,24200,24093,24005,23904,23800,23695,23587,23485,23381,23274,23130
"Population, female",SP.POP.TOTL.FE.IN,St. Lucia,LCA,90909,90712,90411,90001,89573,89132,88683,88222,87752,87284,86816,86305,85705,85135,84671,84234,83785,83308,82807,82285,81739,81198
"Population, female",SP.POP.TOTL.FE.IN,St. Martin (French part),MAF,16680,16759,17076,17372,17752,18084,18248,18361,18501,18724,18942,19124,19183,18985,18631,18241,17825,17390,16948,16503,16057,15610
"Population, female",SP.POP.TOTL.FE.IN,St. Vincent and the Grenadines,VCT,51020,51123,51199,51288,51425,51523,51704,51944,52139,52397,52710,53026,53341,53620,53871,54143,54464,54797,55114,55395,55587,55700
"Population, female",SP.POP.TOTL.FE.IN,Sudan,SDN,23454198,22842482,22231053,21624451,21005857,20344125,19690357,19084493,18496684,17985615,17566190,17193271,16851113,16452670,16007627,15566424,15133106,14728917,14362444,14031002,13714630,13397021
"Population, female",SP.POP.TOTL.FE.IN,Suriname,SUR,310416,307598,304409,300864,297374,294024,290695,287483,284406,281345,278227,275035,271788,268537,265315,262113,258937,255810,252750,249404,245707,241957
"Population, female",SP.POP.TOTL.FE.IN,Sweden,SWE,5201777,5169131,5142210,5110007,5063720,5010725,4949232,4892930,4846823,4804202,4768910,4738700,4707641,4672101,4636700,4604872,4574597,4551999,4536646,4521528,4507394,4495417
"Population, female",SP.POP.TOTL.FE.IN,Switzerland,CHE,4414771,4383460,4352384,4322218,4292467,4261807,4225760,4184583,4140499,4093847,4051266,4012325,3971373,3933290,3888817,3845997,3816235,3794856,3772931,3749181,3723614,3696843
"Population, female",SP.POP.TOTL.FE.IN,Syrian Arab Republic,SYR,11046621,10643230,10364931,10024320,9636103,9451008,9430784,9541583,9962642,10658890,11199824,11256631,11060526,10806581,10631467,10247376,9613142,9190476,8942531,8707194,8483717,8265950
"Population, female",SP.POP.TOTL.FE.IN,Tajikistan,TJK,4944055,4843921,4741717,4640105,4538006,4439244,4341940,4244558,4149426,4058822,3973488,3892805,3816785,3746357,3680787,3618745,3558928,3500113,3441092,3381399,3320485,3258343
"Population, female",SP.POP.TOTL.FE.IN,Tanzania,TZA,33126817,32170681,31229064,30309141,29411111,28504126,27588579,26682282,25829040,25043537,24302653,23604611,22934464,22325047,21745199,21146405,20551919,19973779,19417879,18887539,18383543,17903270
"Population, female",SP.POP.TOTL.FE.IN,Thailand,THA,36890933,36807094,36706197,36584375,36456433,36304062,36120993,35928923,35728989,35505484,35263239,35010449,34759118,34506526,34245582,33977340,33707262,33442524,33172952,32892200,32601809,32302543
"Population, female",SP.POP.TOTL.FE.IN,Timor-Leste,TLS,657338,647343,637023,627425,618322,609206,600053,590849,580201,568065,555592,542678,530149,518938,508195,496805,484856,472646,461240,451611,442957,434512
"Population, female",SP.POP.TOTL.FE.IN,Togo,TGO,4400474,4299551,4199517,4101080,4004288,3908948,3814990,3722767,3632229,3543083,3455284,3368325,3281899,3197084,3110745,3024956,2939845,2859955,2788032,2717015,2648182,2580948
"Population, female",SP.POP.TOTL.FE.IN,Tonga,TON,54010,53578,53161,52956,52981,53032,53093,53207,53359,53482,53580,53530,53313,53093,52863,52584,52297,52015,51713,51398,51093,50782
"Population, female",SP.POP.TOTL.FE.IN,Trinidad and Tobago,TTO,775955,772874,768972,768058,761204,750563,745604,740577,735428,730188,724786,719388,714240,709337,704812,700602,696458,692285,688004,683908,679829,675875
"Population, female",SP.POP.TOTL.FE.IN,Tunisia,TUN,6257745,6205901,6148895,6086590,6023338,5957666,5890057,5821555,5752827,5684301,5617270,5543870,5472893,5414120,5358773,5305565,5253882,5203104,5150557,5095996,5041762,4987785
"Population, female",SP.POP.TOTL.FE.IN,Turkiye,TUR,42578812,42285574,41952454,41614734,41271565,40905866,40364923,39673609,38904126,38134588,37482841,36927573,36435164,35947694,35492255,35063298,34626495,34174902,33711804,33249782,32807631,32347670
"Population, female",SP.POP.TOTL.FE.IN,Turkmenistan,TKM,3244911,3200126,3154282,3108189,3061479,3013322,2963818,2913195,2861936,2810945,2760957,2712698,2666836,2623822,2583794,2546448,2511099,2477064,2444135,2413772,2383903,2352143
"Population, female",SP.POP.TOTL.FE.IN,Turks and Caicos Islands,TCA,22697,22385,21952,21341,20535,19707,18906,18046,17267,16575,15819,15181,14627,14046,13463,12886,12316,11746,11177,10611,10039,9537
"Population, female",SP.POP.TOTL.FE.IN,Tuvalu,TUV,5513,5449,5367,5301,5252,5230,5244,5261,5272,5280,5260,5202,5146,5093,5045,5006,4965,4922,4878,4835,4822,4845
"Population, female",SP.POP.TOTL.FE.IN,Uganda,UGA,23848253,23153140,22431520,21707475,20994287,20303726,19617063,18983798,18416102,17886355,17387117,16899880,16424860,15962058,15512657,15074658,14647855,14236112,13837865,13443274,13037567,12644368
"Population, female",SP.POP.TOTL.FE.IN,Ukraine,UKR,20550751,23524526,23696954,23824417,23945847,24063444,24163867,24252850,24331203,24465742,24540714,24619417,24720003,24827572,24938391,25065410,25204855,25361812,25531650,25714014,25912812,26143936
"Population, female",SP.POP.TOTL.FE.IN,United Arab Emirates,ARE,2893385,2853108,2811921,2767844,2721838,2675811,2628601,2579445,2528177,2475122,2420594,2364604,2306780,2174433,1943966,1691536,1470867,1325578,1249569,1196457,1143337,1090383
"Population, female",SP.POP.TOTL.FE.IN,United Kingdom,GBR,33876563,33913563,33948108,33835792,33662065,33477363,33270675,33041408,32802913,32584323,32390769,32189405,31960504,31732553,31516343,31293296,31072904,30867389,30678379,30526615,30406325,30296779
"Population, female",SP.POP.TOTL.FE.IN,United States,USA,168266219,167550001,167203010,165599805,164926348,164151818,163224028,162158414,161084758,160034189,159064447,158043988,156968302,155660194,154289840,152829130,151383683,149946323,148594732,147242226,145972802,144625822
"Population, female",SP.POP.TOTL.FE.IN,Uruguay,URY,1764421,1766768,1768921,1769262,1769223,1767547,1764048,1759187,1754081,1749192,1744447,1739923,1735600,1731478,1727547,1723823,1720550,1718045,1715206,1711718,1707985,1703369
"Population, female",SP.POP.TOTL.FE.IN,Uzbekistan,UZB,17809564,17446107,17107641,16783206,16470365,16186297,15916811,15645110,15377752,15123261,14892274,14678761,14294052,13899688,13669723,13453551,13264039,13102791,12948519,12795643,12643062,12484420
